"Device Details","Price","Ratings"
"Apple iPhone 6s (Space Grey, 64 GB)","?27,999","4.5"
"Apple iPhone 6s (Space Grey, 32 GB)","?28,998","4.5"
"Apple iPhone 7 (Rose Gold, 32 GB)","?29,799","4.5"
"Apple iPhone 7 (Black, 32 GB)","?29,799","4.5"
"Apple iPhone 7 (Silver, 32 GB)","?29,799","4.5"
"Apple iPhone 6 (Gold, 32 GB)","?29,999","4.4"
"Apple IPhone 4 (White, 8 GB)","?13,999","4.1"
"Apple iPhone 5C (Blue, 8 GB)","?14,999","3.9"
"Apple iPhone 5C (White, 8 GB)","?14,999","3.9"
"Apple iPhone 5s (Gold, 16 GB)","?14,999","4.4"
"Apple iPhone 6s (Silver, 16 GB)","?22,490","4.5"
"Apple IPhone 4 (Black, 8 GB)","?22,900","4.1"
"Apple iPhone 5s (Silver, 16 GB)","?25,000","4.4"
"Apple iPhone 5s (Space Grey, 16 GB)","?25,000","4.4"
"Apple iPhone 6s (Gold, 32 GB)","?25,299","4.5"
"Apple iPhone 6s (Silver, 32 GB)","?25,299","4.5"
"Apple iPhone 6s (Rose Gold, 32 GB)","?25,299","4.5"
"Apple iPhone 6 (Gold, 64 GB)","?25,999","4.4"
"Apple iPhone 6s (Rose Gold, 64 GB)","?27,990","4.5"
"Apple iPhone 7 (Jet Black, 32 GB)","?29,799","4.5"
"Apple iPhone 7 (Gold, 32 GB)","?29,799","4.5"
"Apple iPhone 6s Plus (Space Grey, 16 GB)","?29,990","4.4"
"Apple iPhone 6 (Space Grey, 32 GB)","?30,780","4.4"
"Apple iPhone 6s (Space Grey, 16 GB)","?31,999","4.5"
"Apple iPhone 6s (Rose Gold, 16 GB)","?31,999","4.5"
"Apple iPhone 6s Plus (Silver, 32 GB)","?34,900","4.4"
"Apple iPhone 7 (Black, 128 GB)","?34,900","4.5"
"Apple iPhone 6s Plus (Space Grey, 32 GB)","?34,900","4.4"
"Apple iPhone 7 (Jet Black, 128 GB)","?34,900","4.5"
"Apple iPhone 7 (Silver, 128 GB)","?34,900","4.5"
"Apple iPhone 7 (Red, 128 GB)","?34,900","4.5"
"Apple iPhone 7 (Rose Gold, 128 GB)","?34,900","4.5"
"Apple iPhone 7 (Gold, 128 GB)","?34,900","4.5"
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","?34,900","4.4"
"Apple iPhone 6s Plus (Gold, 32 GB)","?34,900","4.4"
"Apple iPhone 6 (Gold, 16 GB)","?36,499","4.4"
"Apple iPhone 6 (Silver, 16 GB)","?36,990","4.4"
"Apple iPhone 7 Plus (Gold, 32 GB)","?36,999","4.5"
"Apple iPhone 7 Plus (Black, 32 GB)","?36,999","4.5"
"Apple iPhone 7 Plus (Rose Gold, 32 GB)","?36,999","4.5"
"Apple iPhone 7 Plus (Silver, 32 GB)","?36,999","4.5"
"Apple iPhone 7 Plus (Jet Black, 32 GB)","?36,999","4.5"
"Apple iPhone 5C (Pink, 8 GB)","?37,500","3.9"
"Apple iPhone 5C (Yellow, 8 GB)","?37,500","3.9"
"Apple iPhone SE (White, 64 GB)","?37,900","4.5"
"Apple iPhone SE (Red, 64 GB)","?37,900","4.5"
"Apple iPhone SE (Black, 64 GB)","?37,900","4.5"
"Apple iPhone 8 (Gold, 64 GB)","?38,999","4.5"
"Apple iPhone 8 (PRODUCT)RED (Red, 64 GB)","?38,999","4.7"
"Apple iPhone 8 (Space Grey, 64 GB)","?38,999","4.5"
"Apple iPhone 8 (Silver, 64 GB)","?38,999","4.5"
"Apple iPhone 6 Plus (Space Grey, 16 GB)","?39,999","4.5"
